Barcode,Article,Percentage,OriginalPrice
0007859-00L-019-L,00078599,50,
0007859-00M-019-L,00078599,50,
0007859-00S-019-L,00078599,50,
0007859-0XL-019-L,00078599,50,
0007859-EXS-019-L,00078599,50,
0007859-XXL-019-L,00078599,50,
10000007554,BN260,50,
10000005578,BN261,50,
10000005582,BN261,50,
10000005586,BN261,50,
10000005579,BN262,50,
10000005583,BN262,50,
GL153827-XXS-BLK-L,GL153827,50,1790
GL153831-00S-BLK-L,GL153831,50,1790
GL156740-4Y5-BLK-K,GL156740,50,730
GL156744-2Y3-RED-K,GL156744,50,630
GL156744-3Y4-RED-K,GL156744,50,630
GL156744-4Y5-RED-K,GL156744,50,730
GL156744-6Y7-RED-K,GL156744,50,850
GL156744-7Y8-RED-K,GL156744,50,850
GL156744-8Y9-RED-K,GL156744,50,950
GL156746-2Y3-PNK-K,GL156746,50,630
GL156746-3Y4-PNK-K,GL156746,50,630
GL156746-4Y5-PNK-K,GL156746,50,730
GL162943-00S-BEG-L,GL162943,50,1890
GL162943-0XL-BEG-L,GL162943,50,1890
GL162943-EXS-BEG-L,GL162943,50,1890
GL162943-XXS-BEG-L,GL162943,50,1890
GL162944-00S-BEG-L,GL162944,50,1470
GL162949-XXS-OWH-L,GL162949,50,2000
GL162950-00M-OWH-L,GL162950,50,1890
GL164536-XXS-BLK-L,GL164536,50,2000
GL165183-2Y3-PNK-K,GL165183,50,630
GL165184-910-YLW-K,GL165184,50,1050
GL165185-2Y3-GRN-K,GL165185,50,630
GL165186-2Y3-IND-K,GL165186,50,630
GL165186-3Y4-IND-K,GL165186,50,630
GL165186-4Y5-IND-K,GL165186,50,850
GL165570-2PS-MON-L,GL165570,50,7690
GL165599-XXS-BEG-L,GL165599,50,1470
GL165986-EXS-BLK-L,GL165986,50,1690
GL165987-XXS-OWH-L,GL165987,50,1690
GL166379-2PS-BLU-L,GL166379,50,7690
GL167455-00L-053-L,GL167455,50,17910
GL168600-XXS-BEG-L,GL168600,50,1150
GL168601-XXS-BLK-L,GL168601,50,1150
GL168602-XXS-OWH-L,GL168602,50,1150
GL169306-XXS-BLK-L,GL169306,50,1470
GL169311-00S-BLK-L,GL169311,50,1570
GL169313-XXS-WHT-L,GL169313,50,1570
GL172952-7Y8-121-K,GL172952,50,7370
GL177277-00L-BLK-L,GL177277,50,2000
GL177277-00S-BLK-L,GL177277,50,2000
GL177278-00S-OWH-L,GL177278,50,2000
GL177278-XXS-OWH-L,GL177278,50,2000
GL177281-EXS-BEG-L,GL177281,50,1690
GL177281-XXS-BEG-L,GL177281,50,1690
GL177286-00S-BLK-L,GL177286,50,1690
GL177286-XXS-BLK-L,GL177286,50,1690
GL177408-00S-OWH-L,GL177408,50,1690
GL177408-XXS-OWH-L,GL177408,50,1690
GL177900-00S-BEG-L,GL177900,50,1690
GL177900-XXS-BEG-L,GL177900,50,1690
GL179637-00M-PCH-L,GL179637,50,14230
GL181782-XXS-GRY-L,GL181782,50,1690
GL181939-00M-024-L,GL181939,50,12330
GL181999-3PS-024-L,GL181999,50,9170
GL182031-3PS-188-L,GL182031,50,8110
GL182588-0XL-WHT-L,GL182588,50,11590
GL182619-00L-RST-L,GL182619,50,15810
GL182619-00M-RST-L,GL182619,50,15810
GL182619-00S-RST-L,GL182619,50,15810
GL182619-0XL-RST-L,GL182619,50,15810
GL182623-00S-CFE-L,GL182623,50,28030
GL182623-0XL-CFE-L,GL182623,50,28030
GL182623-EXS-CFE-L,GL182623,50,28030
GL182632-00L-033-L,GL182632,50,13690
GL182634-EXS-019-L,GL182634,50,13690
GL182701-3PS-OWH-L,GL182701,50,23170
GL182740-3PS-OGR-L,GL182740,50,13170
GL182741-3PS-022-L,GL182741,50,13170
