Barcode,Article,Percentage,OriginalPrice
0007859-00L-019-L,00078599,50,
0007859-00M-019-L,00078599,50,
0007859-00S-019-L,00078599,50,
0007859-0XL-019-L,00078599,50,
0007859-EXS-019-L,00078599,50,
0007859-XXL-019-L,00078599,50,
10000007554,BN260,50,
10000005578,BN261,50,
10000005582,BN261,50,
10000005586,BN261,50,
10000005579,BN262,50,
10000005583,BN262,50,
10000005587,BN262,50,
10000005580,BN263,50,
10000005584,BN263,50,
10000005588,BN263,50,
10000005581,BN264,50,
10000005585,BN264,50,
10000005589,BN264,50,
10000068215,CCW2PSRF123031U,50,
10000068216,CCW2PSRF123032U,50,
10000057109,CCWRF01231664S,50,
10000057110,CCWRF01231664S,50,
10000057111,CCWRF01231664S,50,
10000057112,CCWRF01231664S,50,
10000057113,CCWRF01231664S,50,
10000057114,CCWRF01231664S,50,
10000003841,CCWRF01S23006S,50,
10000003842,CCWRF01S23006S,50,
10000003843,CCWRF01S23006S,50,
10000003844,CCWRF01S23006S,50,
10000003845,CCWRF01S23006S,50,
10000003846,CCWRF01S23006S,50,
10000003847,CCWRF01S231666S,1990Flat,
10000003848,CCWRF01S231666S,1990Flat,
10000003849,CCWRF01S231666S,1990Flat,
10000003850,CCWRF01S231666S,1990Flat,
10000003851,CCWRF01S231666S,1990Flat,
10000003852,CCWRF01S231666S,1990Flat,
10000056987,CCWRF01SD23022S,50,
10000056988,CCWRF01SD23022S,50,
10000056989,CCWRF01SD23022S,50,
10000056990,CCWRF01SD23022S,50,
10000056992,CCWRF01SD23022S,50,
10000056991,CCWRF01SD23022S,50,
10000004201,CCWRF01ST23006S,50,
10000004202,CCWRF01ST23006S,50,
10000004203,CCWRF01ST23006S,50,
10000004204,CCWRF01ST23006S,50,
10000004205,CCWRF01ST23006S,50,
10000004206,CCWRF01ST23006S,50,
10000011534,CCWRF01ST23007S,50,
10000011535,CCWRF01ST23007S,50,
10000011536,CCWRF01ST23007S,50,
10000011537,CCWRF01ST23007S,50,
10000011538,CCWRF01ST23007S,50,
10000011539,CCWRF01ST23007S,50,
10000004207,CCWRF01ST23008S,50,
10000004208,CCWRF01ST23008S,50,
10000004209,CCWRF01ST23008S,50,
10000004210,CCWRF01ST23008S,50,
10000004211,CCWRF01ST23008S,50,
